timestamp;value;datetime
1760619600000;83.03;2025-10-16 13:00:00
1760623200000;89.03;2025-10-16 14:00:00
1760626800000;120.92;2025-10-16 15:00:00
1760630400000;130.0;2025-10-16 16:00:00
1760634000000;140.59;2025-10-16 17:00:00
1760637600000;125.59;2025-10-16 18:00:00
1760641200000;102.23;2025-10-16 19:00:00
1760644800000;99.86;2025-10-16 20:00:00
1760648400000;93.36;2025-10-16 21:00:00
1760652000000;88.15;2025-10-16 22:00:00
1760655600000;88.31;2025-10-16 23:00:00
1760659200000;89.06;2025-10-17 00:00:00
1760662800000;88.46;2025-10-17 01:00:00
